Unique ID,Join Date,Last Source Date,First source,Last source
563883-232,2026-01-28 16:00:00,2026-01-28 15:55:00,@all-combined-targetscreatives,@all-combined-targetscreatives
390368-233,2026-01-28 09:55:00,-,-,-
350192-234,2026-01-28 09:41:00,-,-,-
160075-235,2026-01-28 09:35:00,2026-01-28 09:31:00,@linkedinbio,@linkedinbio
369931-236,2026-01-28 08:59:00,-,-,-
396126-237,2026-01-28 07:32:00,2026-01-21 09:18:00,@all-combined-targetscreatives,@all-combined-targetscreatives
362723-238,2026-01-28 06:56:00,2026-01-28 06:47:00,@all-combined-targetscreatives,@all-combined-targetscreatives
757961-239,2026-01-28 06:30:00,2026-01-24 09:46:00,@all-combined-targetscreatives,@all-combined-targetscreatives
324383-240,2026-01-27 22:02:00,2026-01-28 19:28:00,@yt_10_2_2025,@yt_10_2_2025
644957-241,2026-01-27 21:57:00,2026-01-27 21:51:00,@all-combined-targetscreatives,@all-combined-targetscreatives
489538-242,2026-01-27 21:42:00,2026-01-27 21:35:00,@all-combined-targetscreatives,@all-combined-targetscreatives
368972-243,2026-01-27 21:34:00,2026-01-27 21:26:00,@all-combined-targetscreatives,@all-combined-targetscreatives
773631-244,2026-01-27 17:30:00,2026-01-27 17:16:00,@all-combined-targetscreatives,@all-combined-targetscreatives
478899-245,2026-01-27 14:59:00,2026-01-27 14:50:00,@yt_1_2_2026,@yt_1_2_2026
218501-246,2026-01-27 14:27:00,2026-01-27 14:20:00,@yt_9_6_2025,@yt_9_6_2025
958464-247,2026-01-27 14:13:00,-,-,-
463980-248,2026-01-27 13:42:00,-,-,-
721492-249,2026-01-27 13:01:00,2026-02-01 16:57:00,@yt_10_2_2025,@yt_10_2_2025
857433-250,2026-01-27 12:41:00,2026-01-29 13:08:00,@linkedinbio,@linkedinbio
942292-251,2026-01-27 12:09:00,2026-01-30 13:35:00,@yt_10_2_2025,@welcome_sequence
183072-252,2026-01-27 11:06:00,2026-01-27 11:12:00,@all-combined-targetscreatives,@all-combined-targetscreatives
563010-253,2026-01-27 10:23:00,2026-01-27 12:05:00,@all-combined-targetscreatives,@all-combined-targetscreatives
128820-254,2026-01-27 09:07:00,2026-01-27 08:59:00,@kedeisha-test-ads,@kedeisha-test-ads
273927-255,2026-01-27 08:33:00,2026-01-28 07:52:00,@yt_10_2_2025,@yt_10_2_2025
481169-256,2026-01-27 07:56:00,2026-01-27 08:20:00,@all-combined-targetscreatives,@all-combined-targetscreatives
795291-257,2026-01-27 07:15:00,2026-01-27 06:58:00,@all-combined-targetscreatives,@all-combined-targetscreatives
506329-258,2026-01-27 05:29:00,2026-01-27 05:31:00,@yt_9_22_2025,@yt_10_20_2025
117388-259,2026-01-26 22:37:00,2026-01-25 00:11:00,@yt_bio,@yt_bio
933904-260,2026-01-26 22:31:00,2026-01-26 22:24:00,@all-combined-targetscreatives,@all-combined-targetscreatives
280726-261,2026-01-26 20:08:00,2026-01-26 19:59:00,@all-combined-targetscreatives,@all-combined-targetscreatives
832406-262,2026-01-26 20:06:00,2026-01-26 20:03:00,@all-combined-targetscreatives,@all-combined-targetscreatives
469976-263,2026-01-26 18:52:00,2026-01-26 18:50:00,@all-combined-targetscreatives,@all-combined-targetscreatives
438699-264,2026-01-26 16:55:00,2026-01-26 16:52:00,@yt_6_30_2025,@yt_6_30_2025
347355-265,2026-01-26 12:56:00,-,-,-
798743-266,2026-01-26 11:01:00,2026-01-26 10:51:00,@yt_1_26_2026,@yt_bio
908934-267,2026-01-26 10:49:00,2026-01-25 22:10:00,@all-combined-targetscreatives,@all-combined-targetscreatives
101187-268,2026-01-26 09:54:00,-,-,-
956766-269,2026-01-26 01:41:00,-,-,-
456480-270,2026-01-26 01:20:00,2026-01-27 05:51:00,@yt_12_12_2025,@yt_12_12_2025
831737-271,2026-01-25 11:20:00,2026-01-25 11:18:00,@all-combined-targetscreatives,@all-combined-targetscreatives
122724-272,2026-01-25 07:37:00,2026-01-25 07:31:00,@all-combined-targetscreatives,@all-combined-targetscreatives
317897-273,2026-01-25 07:09:00,2026-01-25 07:06:00,@all-combined-targetscreatives,@all-combined-targetscreatives
340979-274,2026-01-25 05:45:00,-,-,-
583277-275,2026-01-24 23:27:00,2026-01-24 23:20:00,@yt_bio,@yt_bio
900965-276,2026-01-24 22:49:00,2026-01-24 22:45:00,@all-combined-targetscreatives,@all-combined-targetscreatives
994140-277,2026-01-24 21:33:00,2026-01-24 21:33:00,@linkedin_organic,@linkedin_organic
622482-278,2026-01-24 19:44:00,2026-01-28 09:38:00,@all-combined-targetscreatives,@all-combined-targetscreatives
952519-279,2026-01-24 17:52:00,2026-01-24 17:48:00,@all-combined-targetscreatives,@all-combined-targetscreatives
327303-280,2026-01-24 17:35:00,2026-01-24 17:32:00,@yt_10_23_2025,@yt_10_23_2025
844172-281,2026-01-24 12:17:00,2026-01-25 08:27:00,@yt_12_12_2025,@yt_12_12_2025
968139-282,2026-01-24 11:48:00,-,-,-
481519-283,2026-01-24 10:34:00,-,-,-
436831-284,2026-01-24 10:32:00,2026-01-24 10:26:00,@all-combined-targetscreatives,@all-combined-targetscreatives
569684-285,2026-01-24 09:57:00,2026-01-24 09:53:00,@all-combined-targetscreatives,@all-combined-targetscreatives
537159-286,2026-01-24 09:48:00,2026-01-24 08:44:00,@yt_10_2_2025,@yt_10_2_2025
598884-287,2026-01-24 08:15:00,-,-,-
613444-288,2026-01-23 23:57:00,2026-01-29 10:16:00,@linkedinbio,@linkedinbio
708938-289,2026-01-23 23:47:00,-,-,-
245701-290,2026-01-23 23:32:00,2026-01-23 23:24:00,@all-combined-targetscreatives,@all-combined-targetscreatives
104557-291,2026-01-23 18:59:00,2026-01-23 18:54:00,@linkedin_organic,@linkedin_organic
252279-292,2026-01-23 18:03:00,2026-01-23 18:01:00,@all-combined-targetscreatives,@all-combined-targetscreatives
245953-293,2026-01-23 17:35:00,2026-01-23 17:31:00,@all-combined-targetscreatives,@all-combined-targetscreatives
546435-294,2026-01-23 17:31:00,-,-,-
403083-295,2026-01-23 16:24:00,2026-01-23 16:17:00,@all-combined-targetscreatives,@all-combined-targetscreatives
754613-296,2026-01-23 16:08:00,2026-01-21 17:15:00,@all-combined-targetscreatives,@all-combined-targetscreatives
485983-297,2026-01-23 13:47:00,-,-,-
560142-298,2026-01-23 12:55:00,2026-01-23 13:11:00,@yt_5_15_2025,@bing_organic
290254-299,2026-01-23 12:54:00,2026-01-23 12:51:00,@all-combined-targetscreatives,@all-combined-targetscreatives
472565-300,2026-01-23 12:42:00,2026-01-23 13:47:00,@yt_10_2_2025,@yt_10_2_2025
752163-301,2026-01-23 11:55:00,2026-01-23 11:53:00,@yt_bio,@yt_1_19_2026
346568-302,2026-01-23 11:35:00,2026-01-23 11:32:00,@all-combined-targetscreatives,@all-combined-targetscreatives
790115-303,2026-01-23 09:47:00,2026-01-23 09:34:00,@all-combined-targetscreatives,@all-combined-targetscreatives
495190-304,2026-01-23 09:11:00,-,-,-
391064-305,2026-01-23 08:03:00,2026-01-23 08:04:00,@linkedinbio,@linkedin_organic
374948-306,2026-01-23 07:57:00,2026-01-23 07:55:00,@all-combined-targetscreatives,@all-combined-targetscreatives
265478-307,2026-01-23 06:38:00,-,-,-
892684-308,2026-01-22 23:00:00,2026-01-22 22:05:00,@all-combined-targetscreatives,@all-combined-targetscreatives
178355-309,2026-01-22 22:59:00,2026-02-04 09:40:00,@kedeisha-test-ads,@kedeisha-test-ads
707023-310,2026-01-22 22:54:00,2026-01-22 23:01:00,@yt_1_2_2026,@google_organic
848793-311,2026-01-22 21:07:00,2026-01-22 20:57:00,@yt_bio,@yt_bio
174180-312,2026-01-22 19:06:00,2026-01-22 18:55:00,@all-combined-targetscreatives,@all-combined-targetscreatives
968215-313,2026-01-22 17:10:00,2026-01-22 17:04:00,@yt_bio,@yt_bio
674947-314,2026-01-22 16:35:00,2026-01-26 15:51:00,@kedeisha-test-google-cert,@google_organic
270745-315,2026-01-22 16:34:00,-,-,-
731871-316,2026-01-22 16:21:00,2026-01-22 16:13:00,@all-combined-targetscreatives,@all-combined-targetscreatives
